id,name,hindiName,category,description,sizes,image
peda-keshuji-special,Peda (Keshuji Signature),पेड़ा,Signature Heritage,Traditional slow-cooked caramelized mawa fudge spiced with fragrant green cardamom and saffron.,250g | 500g | 1kg,peda-keshuji-special.jpg
moong-ki-barfi,Moong Dal Barfi,मूंग की बर्फी,Signature Heritage,"Rich slow-roasted yellow lentil fudge prepared with pure desi ghee, khoya, and crunchy slivered nuts.",250g | 500g | 1kg,moong-ki-barfi.jpg
rabri-ghevar,Rabdi Ghevar,रबड़ी घेवर,Signature Heritage & Ghevar,Iconic golden honeycomb ghevar topped with rich saffron-infused reduced milk rabdi and pistachios.,Piece | 500g | 1kg,rabri-ghevar.jpg
plain-ghevar,Plain / Mitha Ghevar,सादा घेवर,Signature Heritage & Ghevar,"Crisp, porous Rajasthani honeycomb delicacy gently soaked in aromatic saffron-cardamom syrup.",Piece | 500g | 1kg,plain-ghevar-1.jpg
kalakand,Kalakand,कलाकन्द,Signature Heritage,Classic granular soft milk cake made from pure slow-simmered whole milk and fresh paneer.,250g | 500g | 1kg,kalakand.jpg
milk-cake,Alwar Milk Cake,मिल्क केक,Signature Heritage,Two-toned caramelized dense milk confection with an authentic roasted granular texture.,250g | 500g | 1kg,
rasmalai,Rasmalai,रस मलाई,Royal Bengali & Milk Delicacies,Velvety cottage cheese discs steeped in chilled saffron and pistachio-infused thickened milk.,2 Pcs | 4 Pcs | Bulk Pack,rasmalai.jpg
gupchup,Sweet Gupchup,गुपचुप,Royal Bengali & Milk Delicacies,Bite-sized artisanal soft chhena pockets steeped in a light cardamom-perfumed sugar nectar.,250g | 500g | 1kg,
rasmadhuri,Rasmadhuri,रस्माधुरी,Royal Bengali & Milk Delicacies,Artisanal stuffed chhena dessert layered with rich mawa and dry fruit filling in sweet saffron milk.,2 Pcs | 4 Pcs | Bulk Pack,
malai-chamcham,Malai Cham Cham,मलाई चमचम,Royal Bengali & Milk Delicacies,Elongated delicate chhena sweet slit and lavishly filled with clotted malai cream and nuts.,250g | 500g | 1kg,
chhena-roll,Chhena Roll,छूना रोल,Royal Bengali & Milk Delicacies,Silky fresh cottage cheese sheet rolled around an aromatic core of sweetened mawa and pistachios.,250g | 500g | 1kg,
chhena-toast,Chhena Toast,छूना टोस्ट,Royal Bengali & Milk Delicacies,Golden caramelized rectangular chhena slice crowned with rich mawa cream and saffron.,250g | 500g | 1kg,
rasgulla,Rasgulla,रसगुल्ला,Royal Bengali & Milk Delicacies,"Pure, snow-white spongy cottage cheese spheres poached in clear rose-cardamom syrup.",250g | 500g | 1kg | Tin,
malai-tikkiya,Malai Tikiya,मलाई टिकिया,Royal Bengali & Milk Delicacies,Tender flattened chhena patties immersed in thick clotted cream and fragrant saffron milk.,250g | 500g | 1kg,
chamcham,Cham Cham,चमचम,Royal Bengali & Milk Delicacies,Traditional Bengali poached chhena confection coated with dry fruit and desiccated coconut.,250g | 500g | 1kg,chamcham.jpg
